Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2024|BSPX101S|Basic Seminar [E] 08|KAWAMURA, Kohei|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-807']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101008202411G400101011&pLng=en
2024|BSPX101S|Basic Seminar [E] 09|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|fall semester|['Tues.4']|['3-604']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400101009202411G400101011&pLng=en
2024|ECNA201L|Japanese Economy [E] 01|UEDA, Kozo|Schl Political Sci/Econo|winter quarter|['01:Mon.1', '02:Wed.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400104201202411G400104211&pLng=en
2024|POLX241L|International Politics [E] 01|KURIZAKI, Shuhei|Schl Political Sci/Econo|fall semester|['01:Mon.1', '02:Mon.2']|['01:3-406', '02:3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400104701202411G400104711&pLng=en
2024|POLX211L|Political Communication [E] 01|KOBAYASHI, Tetsuro|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-801']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400104801202411G400104811&pLng=en
2024|POLX251L|Local Government [E] 01|SATO, Manabu|Schl Political Sci/Econo|summer|['othersothers']|['3-909実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105001202411G400105011&pLng=en
2024|ECNA231L|Public Finance [E] 01|BESSHO, Shunichiro|Schl Political Sci/Econo|fall semester|['Mon.1']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105301202411G400105311&pLng=en
2024|ECNT231L|Game Theory II [E] 01|NISHIKAWA, Shizuka|Schl Political Sci/Econo|spring semester|['Mon.3']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105501202411G400105511&pLng=en
2024|ECNT221L|Econometrics I [E] 01|AWAYA, Naoki|Schl Political Sci/Econo|fall semester|['Mon.4']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105701202411G400105711&pLng=en
2024|ECNT231L|Game Theory I [E] 01|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105801202411G400105811&pLng=en
2024|GENX301S|Advanced Seminar I [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105901202411G400105911&pLng=en
